Player: 	Alts
('Candyball Bill',)	('Candyball Bill',)
('Abdul',)	('Abdul',)
('DoorJam',)	('DoorJam',)
('dat',)	('dat',)
('DommyMommy12',)	('DommyMommy12',)
('IDD',)	('IDD',)
('ThatManWithAFace',)	('ThatManWithAFace',)
('leaf',)	('leaf',)
('Husker',)	('Husker',)
('Reset',)	('Reset',)
('wastevtime',)	('wastevtime',)
('RetroChris64',)	('RetroChris64',)
('Spiker',)	('Spiker',)
('Carl-Toast',)	('Carl-Toast',)
('DiscoBoat',)	('DiscoBoat',)
('Me',)	('Me',)
('Jiggles',)	('Jiggles',)
('Schnapps',)	('Schnapps',)
('Gord',)	('Gord',)
('Yugur',)	('Yugur',)
('- K/NG -',)	('- K/NG -',)
('.k',)	('.k',)
('Clubman',)	('Clubman',)
('Hi-Score Henry',)	('Hi-Score Henry',)
('JFee0003',)	('JFee0003',)
('kredillion',)	('kredillion',)
('Soupgaming23',)	('Soupgaming23',)
('Love',)	('Love',)
('ChillingWok',)	('Will',)
('Tekk',)	('Tekk',)
('Ryan Rush',)	('Ryan Rush',)
('TrigDaddy',)	('Trig Daddy',)
('Levin',)	('VIBE | Levin',)
('Ark',)	('Ark',)
('Fblthp',)	('Fblthp',)
('TheWeldo',)	('TheWeldo',)
('Zimri',)	('Zimri',)
('teakay',)	('teakay',)
('Astral',)	('Astral',)
('cage',)	('cage',)
('ShadowHunter77',)	('ShadowHunter77',)
('wee',)	('Chan',)
('GATTI SINCLAIR',)	('GATTI SINCLAIR',)
('Superjack900',)	('Superjack900',)
('Blaughable',)	('Blaughable',)
('blrasmu',)	('Blake | blrasmu',)
('Coolbeans',)	('Coolbeans',)
('Trickster',)	('Trickster',)
('14',)	('14',)
('E1ghtPack',)	('E1ghtPack',)
('Drewbacca',)	('Drewbaca',)
('Fishbowl',)	('Fishbowl',)
('Grady',)	('Gwady',)
('Sor',)	('Sor',)
('Burtn',)	('Burtn',)
('Izee',)	('Izee',)
('Mostache',)	('Mostache',)
('LemonLime',)	('LemonLime',)
('Matmos',)	('Matmos',)
('WavyJ',)	('WavyJ',)
('Wes',)	('Wes',)
('Big Koocher',)	('Big Koocher',)
('Greta',)	('Greta',)
('Smasher',)	('Smasher',)
('Joyboy',)	('Joyboy',)
('1-800-BELL',)	('1-800-BELL',)
('Bread (Bemidji)',)	('Bread (Bemidji)',)
('Grem',)	('Grem',)
('Llama',)	('Llama',)
('SOGMonkey',)	('MNG | FSG | SOGMonkey',)
('Nuclear',)	('Nuclear',)
('Overlord_K',)	('Overlord_K',)
('C_Pap',)	('POOP | C_Pap',)
('duck',)	('POOP | duck',)
('Squilly',)	('POOP | Squilly',)
('Seeker259',)	('Seeker259',)
('Snail',)	('Snail',)
('The Legend',)	('The Legend',)
('Dip',)	('Dip',)
('eyesac',)	('Eyesac',)
('FED',)	('FED',)
('G0hji',)	('G0hji',)
('Lack of Thumbs',)	('Lack of Thumbs',)
('Palito',)	('Palito',)
('Snip',)	('Snip',)
('Mello',)	('Mello',)
('KennyC',)	('TYC | KennyC',)
('Captain GOON',)	('Captain GOON',)
('Cloudpik',)	('Cloudpik',)
('Drale',)	('Drale',)
('RageQuitMay28th',)	('RageQuitMay28th',)
('D35PAC10',)	('D35PAC10',)
('Dinnersaurs',)	('Dinnersaurs',)
('IntrinSICK',)	('IntrinSICK',)
('jewelz',)	('jewelz',)
('noha',)	('noha',)
('Lucasooo',)	('The Hesh.com | Lucasooo',)
('Tobyturtles',)	('The hesh.com | Tobyturtles',)
('GamesWithBob',)	('Bob',)
('Buwaud',)	('Buwaud',)
('CD',)	('CD',)
('Cheeto',)	('Cheeto',)
('ETossed',)	('ETFF | ETossed',)
('GinroDino',)	('GinroDino',)
('HYPERS',)	('HYPERS',)
('JacobMak',)	('JacobMak',)
('Jibca',)	('Jibca',)
('Lamonster',)	('Lamonster',)
('MacSlaya',)	('MacSlaya',)
('m_kao',)	('m_kao',)
('Nav',)	('Nav',)
('Preeminent',)	('Preeminent',)
